ID,Judge,State,Born/Died,Active service,Chief Justice,Retirement,Appointed by,Reason for
1,John Jay ,NY,1745-1829,1789-1795,1789-1795,NA,Washington,Resignation
2,John Rutledge,SC,1739-1800,1789-1791,NA,NA,Washington,Resignation[n 1]
2,John Rutledge* ,SC,1739-1800,1795-1795,1795,NA,Washington,Rejection
3,William Cushing,MA,1732-1810,1789-1810,NA,NA,Washington,Death
4,James Wilson,PA,1742-1798,1789-1798,NA,NA,Washington,Death
5,"John Blair, Jr.",VA,1732-1800,1789-1795,NA,NA,Washington,Resignation
6,James Iredell,NC,1751-1799,1790-1799,NA,NA,Washington,Death
7,Thomas Johnson*,MD,1732-1819,1792-1793,NA,NA,Washington,Resignation
8,William Paterson,NJ,1745-1806,1793-1806,NA,NA,Washington,Death
9,Samuel Chase,MD,1741-1811,1796-1811,NA,NA,Washington,Death
10,Oliver Ellsworth ,CT,1745-1807,1796-1800,1796-1800,NA,Washington,Resignation
11,Bushrod Washington,VA,1762-1829,1798-1829,NA,NA,"Adams, J.",Death
12,Alfred Moore,NC,1755-1810,1800-1804,NA,NA,"Adams, J.",Resignation
13,John Marshall ,VA,1755-1835,1801-1835,1801-1835,NA,"Adams, J.",Death
14,William Johnson,SC,1771-1834,1804-1834,NA,NA,Jefferson,Death
15,Henry Brockholst Livingston,NY,1757-1823,1807-1823,NA,NA,Jefferson,Death
16,Thomas Todd,KY,1765-1826,1807-1826,NA,NA,Jefferson,Death
17,Gabriel Duvall,MD,1752-1844,1811-1835,NA,NA,Madison,Resignation
18,Joseph Story,MA,1779-1845,1812-1845,NA,NA,Madison,Death
19,Smith Thompson*,NY,1768-1843,1823-1843,NA,NA,Monroe,Death
20,Robert Trimble,KY,1776-1828,1826-1828,NA,NA,"Adams, J. Q.",Death
21,John McLean,OH,1785-1861,1829-1861,NA,NA,Jackson,Death
22,Henry Baldwin,PA,1780-1844,1830-1844,NA,NA,Jackson,Death
23,James Moore Wayne,GA,1790-1867,1835-1867,NA,NA,Jackson,Death
24,Roger B. Taney ,MD,1777-1864,1836-1864,1836-1864,NA,Jackson,Death
25,Philip Pendleton Barbour,VA,1783-1841,1836-1841,NA,NA,Jackson,Death
26,John Catron,TN,1786-1865,1837-1865,NA,NA,Jackson,Death
27,John McKinley,AL,1780-1852,1837-1852,NA,NA,Van Buren,Death
28,Peter Vivian Daniel,VA,1784-1860,1842-1860,NA,NA,Van Buren,Death
29,Samuel Nelson,NY,1792-1873,1845-1872,NA,NA,Tyler,Retirement
30,Levi Woodbury*,NH,1789-1851,1845-1851,NA,NA,Polk,Death
31,Robert Cooper Grier,PA,1794-1870,1846-1870,NA,NA,Polk,Retirement
32,Benjamin Robbins Curtis*,MA,1809-1874,1851-1857,NA,NA,Fillmore,Resignation
